Producer;Title;Year;Picname;Critic;Critic_S;Score;Rating
Lanson;Lanson Brut Rose NV;0000;Lanson Brut Rose NV.jpg;Wine Spectator;WS;92;"Wine Spectator 92 * ""Beautiful texture. It's difficult to pinpoint the individual flavors, so well is this put together, but fresh berries and graphite come to mind, along with flowers and citrus. Very complex, with a long, lingering aftertaste."""
Laurent Perrier;Laurent Perrier Demi Sec NV;0000;Laurent Perrier Demi Sec NV.jpg;Wine & Spirits;WAS;90;"Wine & Spirits 90 * ""A heady style of Champagne, this uses sweetness to bring up the fruit flavors, so it tastes like an off-dry riesling on limestone. The scents bring ginger and cider apple, while the finish is richer, with flavors of peaches and cream. It ends with enough acidity to match a fruit and cheese plate."""
Laurent Perrier;Laurent Perrier La Cuvee Brut Gift Set;0000;Laurent Perrier La Cuvee Brut Gift Set.jpg;Wine Spectator;WS;91;Wine Spectator 91 * Elegant and finely knit, this vibrant Champagne is framed by racy acidity that enlivens the flavors of ripe boysenberry, lemon zest, brioche and chopped hazelnut. Spice and chalk notes linger on the finish. Drink now through 2020
Laurent Perrier;Laurent Perrier La Cuvee Brut Gift Set;0000;Laurent Perrier La Cuvee Brut Gift Set.jpg;Wine Enthusiast;WE;91;Wine Enthusiast 91 * Laurent-Perriers dry style is reflected in this crisp, elegant and fine Champagne. The character is mineral, taut, with a great burst of citrus and white fruit acidity. The ensemble creates a delicious food-friendly wine.
Langlois;Langlois Cremant de Loire Brut Rose NV;0000;Langlois Cremant de Loire Brut Rose NV.jpg;Jeb Dunnuck;JD;91;"Jeb Dunnuck 91 * ""The NV Crement de Loire Brut Ros is even better. Made completely from Cabernet Franc aged 18 months on lees in bottle, this bright, juicy, delicious ros sports a pink/salmon color as well as classic notes of strawberries, cherries, and flowers. Its fresh, lively, and fruit forward, and perfect for drinking over the coming year or two."" - J.D."
Carpene Malvolti;Carpene Malvolti 1868 Extra Dry Prosecco NV 187;0000;Carpene Malvolti 1868 Extra Dry Prosecco NV 187.jpg;Decanter;D;90;"Decanter 90 * ""Complex and elegant with aromas of citrus and stone fruit. Concentrated and harmonious flavours of pears and citrus. Impressive."""
Ridgeview;Ridgeview Bloomsbury Brut Blend NV;0000;Ridgeview Bloomsbury Brut Blend NV.jpg;Wine Advocate;WA;91;"Wine Advocate 91 * It has a rich and generous, slightly honeyed bouquet with beeswax and Granny Smith apple aromas. The palate is crisp on the entry, quite saline with fine tension."" -N.M."
Aperol;Cinzano & Aperol Spritz Bubbly Gift Set 750ml;0000;Cinzano & Aperol Spritz Bubbly Gift Set 750ml.jpg;Wine Enthusiast;WE;90;"Wine Enthusiast 90 * ""Among the canon of Italian spirits, Aperol and the Aperol Spritz cocktail are classics, available at a growing range of America's best bars. The lurid red hue is recognizable from across the room. It's light on every countin terms of alcohol content, sweetness level and texture. The gentle sweet-bitter profile goes down easyespecially when lightened with bubbles."""
Veuve Fourny;Veuve Fourny 1er Cru Grand Reserve Brut NV;0000;Veuve Fourny 1er Cru Grand Reserve Brut NV.jpg;Wine Advocate;WA;90;"Wine Advocate 90 * ""NV Brut Premier Cru Grande Reserve is gorgeous. It shows remarkable depth and balance for a NV bottling. The wine blossoms beautifully on the mid-palate, with expressive pears, apples, flowers and depth, all of which come together in a finessed, totally irresistible style. The Grande Reserve is 80% Chardonnay and 20% Pinot Noir reserve in cask."" "
Thienot;Thienot Brut Champagne NV Champagne NV;0000;Thienot Brut Champagne NV Champagne NV.jpg;Wine Enthusiast;WE;91;"Wine Enthusiast 91 * ""This finely balanced wine is both crisp and fruity. Zingy acidity and lemon crispness are contrasted by riper apple and pear fruitiness. On the drier side of Brut and with lively mousse, this is a great wine for an apritif. - Roger Voss"""
Charles de Cazanove;Charles de Cazanove Brut Rose Champagne NV;0000;Charles de Cazanove Brut Rose Champagne NV.jpg;Wine Spectator;WS;91;Wine Spectator 91 * Refined, with well-meshed acidity providing a backbone for delicate flavors of dried currant, graphite, green plum, meringue and grapefruit zest. Fresh, smoke-tinged finish.
Bisol Desiderio;Bisol Desiderio Jeio Brut Cuvee Rose;0000;Bisol Desiderio Jeio Brut Cuvee Rose.jpg;James Suckling;JS;92;James Suckling 92 * A deliciously fruity and dry sparkling wine with melon, light strawberry and citrus aromas and flavors. Full-bodied, tight and fruity. Fresh finish. Serious character to this. Bottled in 2018. James Suckling, November 24, 2018
Jansz;Jansz Premium Cuvee Rose NV;0000;Jansz Premium Cuvee Rose NV.jpg;Wine Enthusiast;WE;90;"Wine Enthusiast 90 * "" This pale salmon rose is a reliable sparkling wine at a very good price. The latest NV release is toasty on the nose, then offers just faint hints of peach or berry flavors. It's lithe yet creamy on the palate, with a long finish. """
Laurent Perrier;Laurent Perrier Brut Ultra NV;0000;Laurent Perrier Brut Ultra NV.jpg;Wine Enthusiast;WE;93;"Wine Enthusiast 93 * ""Ultra Brut, the original no-dosage Champagne, is the name and that’s just how this bone-dry wine tastes. It’s totally crisp, fruity, structured and fresh. Acidity from tight citrus combines with apples and pears to produce a wine that offers both fruitiness and dryness.”"""
Domaine Chandon;Domaine Chandon Classic Brut NV;0000;Domaine Chandon Classic Brut NV.jpg;Wine Enthusiast;WE;90;Wine Enthusiast 90 * A nice, everyday bubbly that offers elegance at an affordable price. Chardonnay contributes crisp flavors of limes, wile Pinot Noir brings deeper flavors of cherries. A lovely wine that grows in the glass. 
Domaine Chandon;Domaine Chandon Classic Brut NV;0000;Domaine Chandon Classic Brut NV.jpg;Wine Spectator;WS;86;"Wine Spectator 86 * ""Complex, with a cedary, sour lemon edge to the pear and citrus flavors, finishing with a lemon blossom scent and good length."""
Bodega Gramona;Gramona Cava Il Lustros;2012;Gramona Cava Il Lustros 2012.jpg;Decanter;D;97;"Decanter 97  * Top 20 Sparkling Wines of 2020 * ""Complex nose of minerals, macadamia and pineapple.  Wonderfully engaging with a well-defined, savory and toasty finish, inviting you to drink again.  Delicious and well-made, with the power booster on for a protracted finish.  A real jewel.  Alc 12"""
Llopart;Llopart Brut Rose Reserva;2017;Llopart Brut Rose Reserva 2017.jpg;Jeb Dunnuck;JD;90;"Jeb Dunnuck 90 * ""The 2017 Brut Reserva Rosé displays a light pink/salmon color as well as attractive notes of wild strawberries, orange blossom, * and toasty spices. Beautifully textured and medium-bodied, with a clean, crisp, dry finish, this rock-solid, outstanding sparkler is ideal for drinking over the coming couple of years. Jeb Dunnuck, jebdunnuck.com, October 21st 2020"
Campo Viejo Wineries;Campo Viejo Cava Brut Rose NV;0000;Campo Viejo Cava Brut Rose NV.jpg;Wilfred Wong;WW;89;Wilfred Wong 89 * Rewarding and refreshing, the lively Gran Campo Viejo Cava Brut Rosé starts out with beautiful deep pink/light red color before satisfying nicely on the palate with bright red fruit flavors. Pair this wine with grilled salmon. (Tasted: November 15, 2017, San Francisco, CA)
Ferrari Carano;Ferrari Brut NV;0000;Ferrari Brut NV.jpg;Wine Enthusiast;WE;90;"Wine Enthusiast 90 * ""This Brut sparkling wine from northern Italy opens with enticing aromas of toasted bread, yellow rose and bright lemon zest. That vanilla cream versus citrus juxtaposition is what sets this fantastic bubbly apart.""~ML"
Ferrari Carano;Ferrari Brut NV;0000;Ferrari Brut NV.jpg;Wine Spectator;WS;88;"Wine Spectator 88 * ""Firm and focused, with fine texture and a subtle blend of Honeycrisp apple, biscuit, apricot and lemon zest. Drink now through 2016. 245,000 cases made.""AN"
Montsarra;Montsarra Brut NV;0000;Montsarra Brut NV.jpg;Wine Enthusiast;WE;90;"Wine Enthusiast 90 * ""The Montsarra brut has really jumped in price ($23) compared to previous releases, but it also strikes us as being more complex, complete and sexy than in the past.  Expect dusty apple aromas with crispness, while the palate runs full and almost hefty, with real-deal apple and citrus flavors.  This is Cava in very good form."""
Pierre Sparr;Pierre Sparr Cremant Brut Reserve NV;0000;Pierre Sparr Cremant Brut Reserve NV.jpg;Wine Enthusiast;WE;90;Wine Enthusiast 90 * A floral note of summer blossom accompanies fresh notes of green and yellow apple on this wine's nose. The palate adds creaminess, presenting a harmonious, fruity, elegant and light body with a dry finish. It is a lovely aperitif. Anne Krebiehl MW, November 2020
Charles de Fere;Charles de Fere Cuvee Jean - Louis Blanc de Blancs Brut NV;0000;Charles de Fere Cuvee Jean - Louis Blanc de Blancs Brut NV.jpg;Wine Enthusiast;WE;87;"Wine Enthusiast 87 * ""Spry and alert, with crisp apple aromas and some baking spice for good measure. Equally crisp on the palate, where lime, green apple and pepper run the show. Moderate but extended in terms of feel and finish; tasty and snappy overall."""
Roederer Estate;Louis Roederer Anderson Brut;0000;Louis Roederer Anderson Brut.jpg;Wilfred Wong;WW;92;"Wilfred Wong of Wine.com 92 * ""The Roederer Estate Brut has always garnered a special place amongst the folks in the wine trade. This is my go-to bubbly from anywhere in the New World and often in place of higher price bubblies from France and Italy. Yes, this one is as solid as they come. Medium straw color, refined beads; excellent aroma of ripe apples and light creaminess, maybe even a hint of hazelnut; medium bodied, delicately layered on the palate, excellent structure; dry, fine acidity, well balanced; complex flavors of ripe apples and cream; medium to long finish, fine nuances in the aftertaste."
Roederer Estate;Louis Roederer Anderson Brut;0000;Louis Roederer Anderson Brut.jpg;Wine Enthusiast;WE;92;"Wine Enthusiast 92 * ""Thickly moussed, Roederer’s Brut, 60% Chardonnay blended with 40% Pinot Noir, aged two years on yeast is affordable and luxurious. A gorgeous, very dry sparkling wine with aromatics of honey, raisin, apple and pear, it is rich and soft and offers both depth and length. It’s an ideal marriage of bright acidity and ripe fruit character."" * Wilfred Wong of Wine.com 92 * ""The Roederer Estate Brut has always garnered a special place amongst the folks in the wine trade. This is my go-to bubbly from anywhere in the New World and often in place of higher price bubblies from France and Italy. Yes, this one is as solid as they come. Medium straw color, refined beads; excellent aroma of ripe apples and light creaminess, maybe even a hint of hazelnut; medium bodied, delicately layered on the palate, excellent structure; dry, fine acidity, well balanced; complex flavors of ripe apples and cream; medium to long finish, fine nuances in the aftertaste."
J;J Vineyards California Cuvee Brut NV;0000;J Vineyards California Cuvee Brut NV.jpg;Wine Enthusiast;WE;90;"Wine Enthusiast 90 * ""Flavorful and polished, this supple wine blends subtle apple and pear notes with buttery, creamy accents. It is rich in character and softly framed by fine bubbles and elegant acidity, with a hint of sweetness on the finish."" ~WE"
J;J Vineyards California Cuvee Brut NV;0000;J Vineyards California Cuvee Brut NV.jpg;James Suckling;JS;90;"James Suckling 90 * ""A really fresh nose with green apples, limes and green papaya. Light to medium body, bright acidity and a fresh finish. Chardonnay and Pinot Noir. Drink now."" ~JS"
Lanson;Lanson Brut NV;0000;Lanson Brut NV.jpg;Wine Spectator;WS;91;Wine Spectator 91 * The Lanson Black Label Champagne is an elegant, berry and citrus-infused bubbly, very fresh and lively, with an intensity that carries through to the long, long aftertaste.
Argyle;Argyle Brut;2016;Argyle Brut 2016.jpg;Wine Enthusiast;WE;90;Wine Enthusiast 90 * The blend in 2016 is quite different from the previous vintage, reversing the roles of the Pinot Noir (35) and Chardonnay (55), with a splash of Pinot Meunier as before. Its young and fresh, with crisp apple fruit flavors in a compact, well-defined frame. There is clearly some aging potential, though where the flavors will go from here is anyones guess.
Jansz;Jansz Premium Cuvee Brut NV;0000;Jansz Premium Cuvee Brut NV.jpg;Wine Spectator;WS;90;"Wine Spectator 90 * ""Crisp and linear, with lime, grapefruit and green apple flavors that are intense and refreshing. Shows plenty of focus on the finish."""
Jansz;Jansz Premium Cuvee Brut NV;0000;Jansz Premium Cuvee Brut NV.jpg;James Suckling;JS;00;"James Suckling * ""A fresh nose with apples, fresh citrus and preserved lemons. Medium-bodied with some nice green and citrus fruit, steely acidity and a bright finish."""
Pere Ventura;Pere Ventura Tresor Brut Rose;0000;Pere Ventura Tresor Brut Rose.jpg;Wine & Spirits;WAS;92;"Wine & Spirits 92 * ""A light pink trepat, this is herbal and foresty in its red fruit flavors. As it opens with air, the finish takes on a mineral complexity that's compelling against the cherry marmalade fruit. Substantial enough for morçilla with white beans, or other meaty tapas."""
Paul Laurent;Paul Laurent Brut NV;0000;Paul Laurent Brut NV.jpg;Wine Spectator;WS;88;"Wine Spectator 88 * ""Aromas of rose and strawberry highlight this fresh, elegant Champagne. Light in weight but not flavor, with fine acidity. Lovely aperitif.  Drink now."""
Domaine Chandon;Domaine Chandon Etoile Brut Rose NV;0000;Domaine Chandon Etoile Brut Rose NV.jpg;Wine Spectator;WS;90;"Wine Spectator 90 * ""Well-crafted, intense and concentrated, with mature, appealing black cherry, candied apple, melon and spice. Clean and refreshing, it offers delicacy and finesse."""
Pierre Gimonnet & Fils;Gimonnet 1er Blanc de Blanc Chardonnay NV;0000;Gimonnet 1er Blanc de Blanc Chardonnay NV.jpg;Wine Spectator;WS;92;"Wine Spectator 92 * ""Aromatic, with apple blossom and ripe fruit notes, this well-cut blanc de blancs shows a chalky underpinning, layered with flavors of glazed nectarine, toasted almond and candied ginger. Long and creamy on the finish"""
Pierre Gimonnet & Fils;Gimonnet 1er Blanc de Blanc Chardonnay NV;0000;Gimonnet 1er Blanc de Blanc Chardonnay NV.jpg;Wine Advocate;WA;90;"Wine Advocate 90 * ""Gimonnet’s NV Brut Chardonnay Blanc de Blancs Premier Cru Cuvee Cuis fills out nicely on the mid-palate, with a little more mid-palate pliancy and richness than the Belles Annees. Green pears, flowers and crushed rocks are some of the nuances that flow through to a wiry finish endowed with significant energy and polish. This is a striking effort from Gimonnet. Disgorgement date: August 2, 2012. Anticipated maturity: 2012-2016. - Wine Advocate"""
Alfred Gratien Champagne;Alfred Gratien Classique Brut Rose;0000;Alfred Gratien Classique Brut Rose.jpg;Wine Spectator;WS;92;Wine Spectator 92 * Rose Champagne is by no means an emerging category at this point, but as its sales keep climbing, producers continue to jump on the bandwagon. The category includes many wallet-friendly versions as well. The fresh and creamy Alfred Gratien Brut Ros is a fine example.
Henkell Trocken;Henkell Cuvee Brut NV;0000;Henkell Cuvee Brut NV.jpg;Wine Enthusiast;WE;88;"Wine Enthusiast Best Buy 88 *  ""Hints of creamy yogurt meld into bright tropical swirls of mango, melon and tangerine in this fun, fizzy sparkling blend. It's delicately effervescent with bristling lemonade acidity."""
Charles de Cazanove;Charles de Cazanove Champagne Brut NV;0000;Charles de Cazanove Champagne Brut NV.jpg;Wine Spectator;WS;92;"Wine Spectator 92 * ""This Champagne offers an array of flavor, including toasted brioche, Gala apple, lemon zest, graphite and ginger, with a touch of honey. Elegant, but with good intensity and a moderate, nut-tinged finish. Drink now through 2018. 2,000 cases imported."" ~ AN"
Dom Perignon;Dom Perignon Brut;2009;Dom Perignon Brut 2009.jpg;James Suckling;JS;97;"James Suckling 97 * ""This is a DP that shows the ripeness of the 2009 vintage yet remains full of energy. Gorgeous aromas of cream, apple, mango, honeysuckle, and chalk follow through to a full body and super fine, tight texture. Dense and agile. Vinous. Its like a top grand cru white Burgundy. Think Btard-Montrachet. More depth than the 2006."""
Dom Perignon;Dom Perignon Brut;2009;Dom Perignon Brut 2009.jpg;Wine Spectator;WS;96;"Wine Spectator 96 * ""Theres a subtle power to this graceful Champagne, which boasts a firm, crystalline frame of acidity married to the fine, satinlike mousse and notes of white raspberry, brioche and Earl Grey tea. Seamless through to the long finish of smoke and spice accents, this opens beautifully in the glass. Drink now through 2029."""
Aubry;Aubry Brut 1er Cru Champagne NV;0000;Aubry Brut 1er Cru Champagne NV.jpg;Wine & Spirits;WAS;92;"Wine & Spirits 92 * ""This tastes of pure, pale white limestone transformed into crisp yellow apple. It’s appetite inducing in its zesty freshness, bright white floral notes and clean, lively length of flavor, especially if there are oysters nearby. The Aubry brothers maintain a reserve wine blend composed of vintages going back to 1998; that blend provides 50 percent of this Brut, with the other half from 2013. The varietal composition is also distinctive: pinot meunier makes up 45 percent, with chardonnay and pinot noir each providing 25 percent and the remaining five percent made up of traditional local varieties including arbanne, petit meslier and fromenteau."""
Aubry;Aubry Brut 1er Cru Champagne NV;0000;Aubry Brut 1er Cru Champagne NV.jpg;James Suckling;JS;92;"James Suckling 92 * ""A smooth, gently round and nicely balanced Champagne dominant in pinot meunier, pinot noir and chardonnay to boot. It has attractive lemon citrus flavors and is really punchy, refined and gently nutty. A smooth, pastry-like texture comes to the fore on the finish. Drink now."""
Aubry;Aubry Brut 1er Cru Champagne NV;0000;Aubry Brut 1er Cru Champagne NV.jpg;Wine Spectator;WS;91;"Wine Spectator 91 * ""A creamy viscosity complements the texture of this harmonious version. An accessible crowd-pleaser, with lightly juicy acidity and delicate flavors of chopped almond, baked pear, saline and citrus. Disgorged January 2019. Drink now through 2022. — AN"""
Dom Perignon;Dom Perignon P2 Plenitude with Gift Box Brut;2002;Dom Perignon P2 Plenitude with Gift Box Brut 2002.jpg;Decanter;D;99;Decanter 99 * And so from P1 methuselah to P2, which for Geoffroy goes beyond Champagne. P2, he continues, must be deeper, richer, longerbetter than P1' - otherwise why release it? Well, they haven't yet, although it's pencilled in for later in 2019. Here we have drive, vinosity and incredible length. The sweet and savoury balance indulges with a seductive embrace. Gustav Klimt in a glass maybe. Outstanding.
Dom Perignon;Dom Perignon P2 Plenitude with Gift Box Brut;2002;Dom Perignon P2 Plenitude with Gift Box Brut 2002.jpg;Wine Advocate;WA;96;"Wine Advocate 96 * The 2002 Dom Prignon P2 is still a youthful wine, but it is beginning to develop appreciable complexity, wafting from the glass with notes of of iodine, warm bread, ripe orchard fruit, peach, citrus oil, smoke and peat, which in Geoffroy's words ""are on the verge of aromatic over-ripeness."" On the palate, the wine is medium to full-bodied, broad and fleshy, with a textural, voluminous profile, pinpoint bubbles and a chalky, phenolic finish. This is a ripe and powerful Dom Prignon that finds its closest stylistic analogy in the 1990 vintage, and it is considerably less evolved than the more tertiary 2000 P2 today. While the P2 is a bit drier and more precise on the finish than the original release, given the wine's slow evolution the difference between the two is less pronounced than it has been for any vintage since 1996."
Armand de Brignac;Armand De Brignac Ace of Spades Blanc de Blanc;0000;Armand De Brignac Ace of Spades Blanc de Blanc.jpg;Wine Enthusiast;WE;92;Wine Enthusiast 92 * In its silver-coated bottle with the “Ace of Spades” logo, this is a crisp, mineral-driven wine, full of acidity and with a bright character on the dry side of brut. Young with layers of apple fruits, it will age. Drink now for the fruit or keep for maturity from 2018. This is one of five Champagnes by entrepreneur and rapper Jay Z under the Armand de Brignac Empire brand that is produced by the Cattier family, in Champagne since 1763.
Armand de Brignac;Armand De Brignac Ace of Spades Blanc de Blanc;0000;Armand De Brignac Ace of Spades Blanc de Blanc.jpg;Wine & Spirits;WAS;92;Wine & Spirits 92 * A sumptuous Champagne revealing wood notes of linden and acacia, along with woodland mushroom scents of shiitake, this has mineral tension and steely acidity to keep its broadness in check. Dark in tone, it requires decanting to open more fully. A mouthwatering inducement for butterbeans and white sausages.
Armand de Brignac;Armand De Brignac Ace of Spades Blanc de Blanc;0000;Armand De Brignac Ace of Spades Blanc de Blanc.jpg;Wine Advocate;WA;92;Wine Advocate 92 * The NV Blanc de Blancs (tasted from the 0.75-liter bottle) is a pure Chardonnay sourced in the Côte des Blancs and the Montagne de Reims and is a blend of the 2005, 2006 and 2008 vintages. The cuvée (Lot L107A8) opens with a clear, fresh and intense bouquet of ripe fruits and some chalky flavors. Full-bodied, terribly fresh and with good grip and tension, this is a persistent, salty-mineral and still a bit nervous Blanc de Blancs with good aging potential.
Armand de Brignac;Armand De Brignac Ace of Spades Blanc de Blanc;0000;Armand De Brignac Ace of Spades Blanc de Blanc.jpg;Wine Spectator;WS;92+;Wine Spectator 92+ * A bright blanc de blancs, with a crisp and lacy mousse, this offers notes of crunchy pear, ground ginger and lemon pith. Offers a clean-cut finish, showing minerally hints of smoke and spice. Drink now through 2020.
Armand de Brignac;Armand De Brignac Ace of Spades Blanc de Blanc;0000;Armand De Brignac Ace of Spades Blanc de Blanc.jpg;Decanter;D;91;Decanter 91 * This is the third addition to the range, launched around 2011. Again, it's a blend of 2009, 2010 and 2012, with 50% of the Chardonnay sourced from Cattier’s own vineyards in Montagne de Reims, and the other 50% from the Côte des Blanc - mostly from the village of Cramant. This is definitely more complex, rounder and richer than your average Blanc de Blancs. Grapefruit and white flower aromas come to mind. While opulent, it is focussed, with tremendous depth wrapped up by a backbone of acidity. A hardly noticeable dosage of 8g/l. 
Scharffenberger;Scharffenberger Brut Rose NV;0000;Scharffenberger Brut Rose NV.jpg;Wine Enthusiast;WE;92;Wine Enthusiast 92 #68 Top 100 Wines of 2019 * This crisp and classy wine tastes dry, tight but complex from the persimmon and raspberry aromas to the lively white-raspberry and white-peach flavors. It has taut acidity balanced by touches of spicy maturity that keep it interesting through the lingering finish.
Dopff & Irion;Dopff & Irion Cremant Brut Rose NV;0000;Dopff & Irion Cremant Brut Rose NV.jpg;Wine Enthusiast;WE;90;"Wine Enthusiast 90 * ""Gentle red-berry notes and fresh citrus appear tentatively on the nose of this wine. The palate is lively, with vivid foam that lends a little creaminess to the slender body. The finish is dry, refreshing and rings with a slight creaminess. Its restrained and easy, but elegant.""-WE"
Emmolo;Emmolo Methode Traditionelle Sparkling #2;0000;Emmolo Methode Traditionelle Sparkling #2.jpg;Wilfred Wong;WW;92;"Wilfred Wong 92 * ""COMMENTARY: Jenny Wagner—born into two longstanding wine families in the Napa Valley—has firmly established herself as an outstanding wine proprietor. The Emmolo Méthode Traditionnelle Sparkling Wine is a first-rate effort. TASTING NOTES: This wine is bright and active. Its fresh and lively aromas and flavors of core fruit and its shading of autolysis should pair it superbly with fresh salmon sashimi handrolls. (Tasted: July 26, 2019, San Francisco, CA)""-WW"
Underwood s;Underwood Cellars Bubbles NV;0000;Underwood Cellars Bubbles NV.jpg;Wine Enthusiast;WE;90;"Wine Enthusiast 90 Best Buy 2018 * ""Its hard to keep your pinky up when youre drinking wine from a 375 mL can. These are the most approachable and ready-to-travel anywhere wines we produce. Whether youre sitting in a hot tub after a good day of riding or heading where other wines dare not travel, we have you covered without sacrificing the craft taste Union is known for. #PINKIESDOWN"""
Frank Family;Frank Family Vineyards Chardonnay;2018;Frank Family Vineyards Chardonnay 2018.jpg;Wine Enthusiast;WE;90;"Wine Enthusiast 90 * ""From the producer's Lewis Vineyard, this white is thickly dense in Bosc pear and toasted oak. Rich and robust, it offers lengthy texture and buttery length: a good fit for fans of a full-bodied, opulent style."""
Frank Family;Frank Family Vineyards Chardonnay;2018;Frank Family Vineyards Chardonnay 2018.jpg;Jeb Dunnuck;JD;90;"Jeb Dunnuck 90 * ""Starting with the base Chardonnay, the 2018 Chardonnay is a ripe, nicely textured, concentrated white that has classy buttered citrus and orchard fruit as well as a touch of background oak. It's rock-solid."""
Frank Family;Frank Family Vineyards Chardonnay;2018;Frank Family Vineyards Chardonnay 2018.jpg;Wine & Spirits;WAS;00;Voted number 7 in Wine & Spirits Magazine's Top Restaurant Wines issue April, 2019
Robert Mondavi;Woodbridge Robert Mondavi Chardonnay;0000;Woodbridge Robert Mondavi Chardonnay.jpg;Wine Enthusiast;WE;00;Wine Enthusiast * Best Buys 2017 * Attractive layering of fruit, cream and hazelnut flavors on a nicely viscous texture makes this full-bodied wine something special. It has a good sense of concentration and depth, along with a lingering finish.~JG                                                         
Hartford Court;Hartford Court Russian River Chardonnay;2018;Hartford Court Russian River Chardonnay 2018.jpg;Wine Enthusiast;WE;94;Wine Enthusiast 94 * This is an outstanding appellation wine, made in larger quantities at a remarkably fair price. Grapes come from throughout the diverse valley and the wine barrel fermented and given nine months to rest. Full bodied, layered and widely appealing, it shows a density of peach, pear, baking spice and sweet oak, all of the components coming together seamlessly at the end.
Hartford Court;Hartford Court Russian River Chardonnay;2018;Hartford Court Russian River Chardonnay 2018.jpg;Wine Spectator;WS;92;Wine Spectator 92 * WS TOP 100 2020 Rank 44 * Luscious, rich and full of creamy white fruit flavors flanked by buttery accents. Spicy plushness lingers into the finish, with some honeyed notes. Drink now through 2024.
Raeburn;Raeburn Winery Chardonnay;2018;Raeburn Winery Chardonnay 2018.jpg;Wine Enthusiast;WE;90;"Wine Enthusiast 90 * ""This is a creamy, voluptuous and richly layered white wine, smooth and overdelivering on its price point in appealing flavors of peach and vanilla."" ~VIRGINIE BOONE"
Raeburn;Raeburn Winery Chardonnay;2018;Raeburn Winery Chardonnay 2018.jpg;James Suckling;JS;90;"James Suckling 90 * ""This has a very rich and fleshy feel with intense, ripe peaches that pervade the nose and palate. There's a really concentrated feel here. Ripe, too. Drink now."""
Beringer;Beringer Private Reserve Chardonnay;2018;Beringer Private Reserve Chardonnay 2018.jpg;James Suckling;JS;97;"James Suckling 97 * ""This is a really solid white with so much structure and depth, as well as a border-less, encompassing palate. Full-bodied and polished with lots of length. Shows complex flavors, from cooked apples and lemons to stones and hints of flowers. Still tight. Needs time to come together. Drink after 2021."""
Beringer;Beringer Private Reserve Chardonnay;2018;Beringer Private Reserve Chardonnay 2018.jpg;Jeb Dunnuck;JD;94;"Jeb Dunnuck 94 * ""The classic Napa release from this estate, the 2018 Chardonnay Private Reserve has lots of beautiful golden apple, caramelized citrus, toasted nut, and hints of acacia flowers. With a rich, textured style, it still stays beautifully fresh, balanced, and layered. It's a brilliant effort."""
William Fevre;William Fevre Champs Royaux Chablis;2018;William Fevre Champs Royaux Chablis 2018.jpg;Wine Enthusiast;WE;93;Wine Enthusiast 93 #66 Top 100 of 2020 * A subtle hint of tangerine on the nose dissipates to leave ripe lemon brightness. The palate is beautifully concentrated, juicy and fresh, brimming with lemon-edged Mirabelle fruitiness. A chalky depth anchors everything in more coolness despite the ripe, rounded vintage.-WE
William Fevre;William Fevre Champs Royaux Chablis;2018;William Fevre Champs Royaux Chablis 2018.jpg;Wilfred Wong;WW;90;Wilfred Wong 90 * COMMENTARY: The William Fvre Champs Royaux Chablis has always been built for success, and the 2018 vintage is on cue. TASTING NOTES: This wine is wild, tart, and crisp. Enjoy its beautifully appointed aromas and flavors of green apples and wild herbs with sardines on a toasted baguette. (Tasted: November 20, 2019, San Francisco, CA)-WW
William Fevre;William Fevre Champs Royaux Chablis;2018;William Fevre Champs Royaux Chablis 2018.jpg;Wine Spectator;WS;90;Wine Spectator 90 * Clean and balanced, this white offers white peach, apple and floral aromas and flavors. A hint of mineral graces the mouthwatering finish.-WS
Lobster Reef;Lobster Reef Sauvignon Blanc;2019;Lobster Reef Sauvignon Blanc 2019.jpg;Wine Enthusiast;WE;88;Wine Enthusiast 88 BEST BUY * :This is a clean, crisp and instantly recognizable Marlborough Sauvignon Blanc. It bounces from the glass with scents and flavors of lime juice and grapefruit, with undercurrents of green bell pepper and tomato leaf.“
Flowers;Flowers Chardonnay;2017;Flowers Chardonnay 2017.jpg;James Suckling;JS;94;"James Suckling 94 * ""Aromas of sliced apples, lemon curd and hints of pineapple. Full-bodied with peach and pineapple flavors. Layered and beautiful. Lovely tannic tension. Flavorful finish. Savory.""-JS"
Flowers;Flowers Chardonnay;2017;Flowers Chardonnay 2017.jpg;Wine Advocate;WA;90;"Robert Parker's Wine Advocate 90 * ""The 2017 Chardonnay Sonoma Coast gives subtle notes of ripe pears, allspice and applesauce with pineapple and lemon juice sparks plus a hint of baking bread. Medium-bodied, elegant and refreshing, it has a lovely creaminess to the texture and touch of nutmeg on the savory finish.""-WA"
Domaine Martin;Domaine Martin Sancerre;2019;Domaine Martin Sancerre 2019.jpg;Wine Spectator;WS;91;"Wine Spectator 91 * ""Pure and refined, this white shows layers of flint, verbena and tangerine that are driven by vibrant acidity and savory minerality. Complex and intense, with a long, zesty finish. Drink now through 2028. 500 cases made, 150 cases imported.  AZ"""
Ramey Wine s;Ramey Fort Ross-Seaview Chardonnay;2017;Ramey Fort Ross-Seaview Chardonnay 2017.jpg;Wine Enthusiast;WE;94;"Wine Enthusiast 94 * ""The second vintage from this site, the Martinelli family's Charles Ranch, this white shows salt and mineral characteristics from the start. Floral, earthy and herbal, it has a light touch of richness to the apple and pear fruit, with integrated oak and moderate acidity."""
